PIN	PropClass	Address	City	Zip	SaleDate	SaleAmt	TaxRate	ASL	ASFL	AI	ASB	ASFB	ASTotal	ASFTotal	Subdivision	FullBath	Style	HalfBath	LivingSqFt	CentralAir	BldgSqFt	Fireplace	YearBuilt	Porch	Basement	Attic	Garage	Lot	Block	Unit	Building	Area	Status
02-24-07-406-028-0000	RESIDENTIAL	618 W EUREKA ST	BRAIDWOOD	60408	08/01/2003	$132,500	7.2039 (2016)	7,263	0	0	41,030	0	48,293	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-407-014-0000	RESIDENTIAL	522 W EUREKA ST	BRAIDWOOD	60408	10/03/1985	$51,000	7.2039 (2016)	6,603	0	0	31,584	0	38,187	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-407-020-0000	RESIDENTIAL	590 W EUREKA ST	BRAIDWOOD	60408	07/08/1989	$69,900	7.2039 (2016)	7,923	0	0	39,822	0	47,745	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-407-021-0000	RESIDENTIAL	580 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	41,192	0	48,455	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-407-031-0000	RESIDENTIAL	520 W EUREKA ST	BRAIDWOOD	60408	10/01/2015	$143,000	7.2039 (2016)	7,263	0	0	41,302	0	48,565	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-002-0000	RESIDENTIAL	285 S ENGLISH ST	BRAIDWOOD	60408	08/01/2008	$100,000	7.2039 (2016)	9,903	0	0	39,302	0	49,205	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6	20	N/A	N/A	N/A	N/A
02-24-07-404-010-0000	RESIDENTIAL	824 W EUREKA ST	BRAIDWOOD	60408	10/01/2000	$15,500	7.2039 (2016)	6,603	0	0	37,074	0	43,677	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	20	N/A	N/A	N/A	N/A	N/A
02-24-07-408-007-0000	RESIDENTIAL	271 S ENGLISH ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	9,903	0	0	41,192	0	51,095	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3	20	N/A	N/A	N/A	N/A
02-24-07-406-026-0000	RESIDENTIAL	640 W EUREKA ST	BRAIDWOOD	60408	08/01/2016	$118,000	7.2039 (2016)	7,263	0	0	41,192	0	48,455	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-404-009-0000	RESIDENTIAL	836 W EUREKA ST	BRAIDWOOD	60408	07/01/2000	$103,000	7.2039 (2016)	6,603	0	0	35,703	0	42,306	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	21	N/A	N/A	N/A	N/A	N/A
02-24-07-404-006-0000	RESIDENTIAL	197 S ENGLISH ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	9,903	0	0	46,145	0	56,048	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-404-017-0000	RESIDENTIAL	127 S ENGLISH ST	BRAIDWOOD	60408	04/10/1987	$43,000	7.2039 (2016)	6,603	0	0	35,703	0	42,306	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
02-24-07-404-011-0000	RESIDENTIAL	812 W EUREKA ST	BRAIDWOOD	60408	05/31/1991	$66,000	7.2039 (2016)	6,603	0	0	38,448	0	45,051	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-008-0000	RESIDENTIAL	845 W EUREKA ST	BRAIDWOOD	60408	07/01/2014	$78,000	7.2039 (2016)	7,768	0	0	19,828	0	27,596	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-009-0000	RESIDENTIAL	835 W EUREKA ST	BRAIDWOOD	60408	07/01/2002	$110,000	7.2039 (2016)	7,263	0	0	43,520	0	50,783	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-004-0000	RESIDENTIAL	775 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	41,192	0	48,455	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-005-0000	RESIDENTIAL	761 W EUREKA ST	BRAIDWOOD	60408	01/01/2000	$91,000	7.2039 (2016)	7,263	0	0	41,861	0	49,124	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-404-015-0000	RESIDENTIAL	101 S ENGLISH ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	6,603	0	0	35,703	0	42,306	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	N/A	N/A	N/A	N/A	N/A
02-24-07-409-006-0000	RESIDENTIAL	749 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	41,192	0	48,455	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-007-0000	RESIDENTIAL	737 W EUREKA ST	BRAIDWOOD	60408	11/08/1991	$55,000	7.2039 (2016)	7,263	0	0	41,192	0	48,455	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-008-0000	RESIDENTIAL	725 W EUREKA ST	BRAIDWOOD	60408	04/06/1990	$56,000	7.2039 (2016)	7,263	0	0	46,015	0	53,278	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-009-0000	RESIDENTIAL	713 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	42,607	0	49,870	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-015-0000	RESIDENTIAL	797 W EUREKA ST	BRAIDWOOD	60408	08/01/2000	$108,000	7.2039 (2016)	7,263	0	0	38,662	0	45,925	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-410-016-0000	RESIDENTIAL	655 W EUREKA ST	BRAIDWOOD	60408	05/25/1995	$112,500	7.2039 (2016)	6,603	0	0	45,357	0	51,960	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-410-018-0000	RESIDENTIAL	635 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	12,358	0	19,621	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-411-002-0000	RESIDENTIAL	525 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	35,703	0	42,966	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-019-0000	RESIDENTIAL	865 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	34,187	0	41,450	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-411-022-0000	RESIDENTIAL	515 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	11,121	0	0	38,448	0	49,569	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-401-007-0000	RESIDENTIAL	133 E ELM ST	BRAIDWOOD	60408	10/01/2004	$59,069	7.2039 (2016)	7,923	0	0	0	0	7,923	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-401-008-0000	RESIDENTIAL	145 E ELM ST	BRAIDWOOD	60408	03/01/2010	$60,000	7.2039 (2016)	7,923	0	0	34,298	0	42,221	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-401-071-0000	RESIDENTIAL	155 E ELM ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	5,284	0	0	12,358	0	17,642	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-406-038-0000	RESIDENTIAL	136 E EUREKA ST	BRAIDWOOD	60408	04/26/1996	$86,000	7.2039 (2016)	8,317	0	0	0	0	8,317	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-406-064-0000	RESIDENTIAL	192 E EUREKA ST	BRAIDWOOD	60408	04/12/1991	$54,900	7.2039 (2016)	7,263	0	0	28,835	0	36,098	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-410-023-0000	RESIDENTIAL	697 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	9,905	0	0	17,049	0	26,954	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-406-065-0000	RESIDENTIAL	182 E EUREKA ST	BRAIDWOOD	60408	07/01/1999	$89,000	7.2039 (2016)	7,263	0	0	20,598	0	27,861	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16	3	N/A	N/A	N/A	N/A
02-24-08-406-071-0000	RESIDENTIAL	158 E EUREKA ST	BRAIDWOOD	60408	08/01/1997	$87,000	7.2039 (2016)	5,941	0	0	12,358	0	18,299	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-406-072-0000	RESIDENTIAL	194 E EUREKA ST	BRAIDWOOD	60408	05/01/2000	$89,900	7.2039 (2016)	6,603	0	0	30,208	0	36,811	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-406-074-0000	RESIDENTIAL	164 E EUREKA ST	BRAIDWOOD	60408	03/01/2006	$133,000	7.2039 (2016)	7,263	0	0	32,765	0	40,028	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-409-003-0000	RESIDENTIAL	785 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	41,192	0	48,455	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-401-002-0000	RESIDENTIAL	123 E ELM ST	BRAIDWOOD	60408	06/26/1992	$25,000	7.2039 (2016)	5,941	0	0	12,358	0	18,299	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-010-0000	RESIDENTIAL	825 W EUREKA ST	BRAIDWOOD	60408	08/01/1999	$84,000	7.2039 (2016)	7,263	0	0	25,788	0	33,051	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-018-0000	RESIDENTIAL	885 W EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	7,263	0	0	0	0	7,263	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-07-408-011-0000	RESIDENTIAL	815 W EUREKA ST	BRAIDWOOD	60408	07/30/1993	$74,500	7.2039 (2016)	7,263	0	0	35,703	0	42,966	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-406-085-0000	RESIDENTIAL	172 E EUREKA ST	BRAIDWOOD	60408	06/01/2011	$120,000	7.2039 (2016)	7,923	0	0	42,634	0	50,557	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
02-24-08-408-002-0000	RESIDENTIAL	121 E EUREKA ST	BRAIDWOOD	60408	03/01/2014	$143,000	7.2039 (2016)	7,923	0	0	39,718	0	47,641	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-17-103-011-0000	INDUSTRIAL	470 ENTERPRISE DR	BRAIDWOOD	60408	03/01/2016	$73,000	7.2039 (2016)	422	0	0	0	0	422	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5	N/A	N/A	N/A	N/A	N/A
02-24-17-103-012-0000	INDUSTRIAL	460 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	514	0	0	0	0	514	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
02-24-17-103-013-0000	INDUSTRIAL	450 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	607	0	0	0	0	607	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A
02-24-17-103-014-0000	INDUSTRIAL	425 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	636	0	0	0	0	636	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
02-24-17-103-016-0000	INDUSTRIAL	445 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	491	0	0	0	0	491	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	11	N/A	N/A	N/A	N/A	N/A
02-24-07-408-012-0000	RESIDENTIAL	805 W EUREKA ST	BRAIDWOOD	60408	10/01/2007	$110,000	7.2039 (2016)	7,263	0	0	35,703	0	42,966	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-17-302-001-0000	INDUSTRIAL	480 ENTERPRISE DR	BRAIDWOOD	60408	03/01/2016	$73,000	7.2039 (2016)	461	0	0	0	0	461	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6	N/A	N/A	N/A	N/A	N/A
02-24-17-302-002-0000	INDUSTRIAL	485 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	748	0	0	0	0	748	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7	N/A	N/A	N/A	N/A	N/A
02-24-08-406-075-0000	RESIDENTIAL	148 E EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	8,582	0	0	13,947	0	22,529	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-408-024-0000	RESIDENTIAL	161 E EUREKA ST	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	9,970	0	0	44,366	0	54,336	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
02-24-17-302-005-0000	INDUSTRIAL	455 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	501	0	0	0	0	501	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10	N/A	N/A	N/A	N/A	N/A
02-24-19-101-003-0000	RESIDENTIAL	704 E ELMO CT	GODLEY	60407	09/01/2008	$132,300	6.1243 (2016)	7,923	0	0	27,257	0	35,180	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A
02-24-17-103-017-0000	INDUSTRIAL	435 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	26,267	0	0	51,120	0	77,387	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12	N/A	N/A	N/A	N/A	N/A
02-24-17-302-004-0000	INDUSTRIAL	465 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	477	0	0	0	0	477	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9	N/A	N/A	N/A	N/A	N/A
02-24-17-302-003-0000	INDUSTRIAL	475 ENTERPRISE DR	BRAIDWOOD	60408	N/A	N/A	7.2039 (2016)	481	0	0	0	0	481	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8	N/A	N/A	N/A	N/A	N/A
02-24-08-408-018-0000	RESIDENTIAL	149 E EUREKA ST	BRAIDWOOD	60408	08/27/1994	$99,500	7.2039 (2016)	9,243	0	0	41,192	0	50,435	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-408-021-0000	RESIDENTIAL	105 E EUREKA ST	BRAIDWOOD	60408	12/01/2008	$136,500	7.2039 (2016)	7,923	0	0	41,321	0	49,244	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
02-24-08-408-022-0000	RESIDENTIAL	131 E EUREKA ST	BRAIDWOOD	60408	11/01/2009	$24,000	7.2039 (2016)	6,200	0	0	12,894	0	19,094	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1	N/A	N/A	N/A	N/A	N/A
02-24-08-408-023-0000	RESIDENTIAL	133 E EUREKA ST	BRAIDWOOD	60408	02/01/2009	$94,500	7.2039 (2016)	6,200	0	0	18,908	0	25,108	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A
02-24-19-101-004-0000	RESIDENTIAL	724 E ELMO CT	GODLEY	60407	11/19/1994	$22,500	6.1243 (2016)	7,923	0	0	7,736	0	15,659	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A
02-24-19-101-007-0000	RESIDENTIAL	784 E ELMO CT	GODLEY	60407	09/01/2015	$25,000	6.1243 (2016)	7,923	0	0	4,311	0	12,234	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7	N/A	N/A	N/A	N/A	N/A
02-24-04-104-019-0000	RESIDENTIAL	145 FLORA FERN RD	BRAIDWOOD	60481	11/01/2014	$50,000	7.2039 (2016)	11,194	0	0	5,718	0	16,912	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	145	N/A	N/A	N/A	N/A	N/A
02-24-04-104-020-0000	RESIDENTIAL	146 FLORA FERN RD	BRAIDWOOD	60481	N/A	N/A	7.2039 (2016)	11,194	0	0	1,399	0	12,593	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	146	N/A	N/A	N/A	N/A	N/A
02-24-04-104-031-0000	RESIDENTIAL	245 FOSSIL COVE LN	BRAIDWOOD	60481	04/01/2016	$90,000	7.2039 (2016)	11,194	0	0	18,420	0	29,614	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	245	N/A	N/A	N/A	N/A	N/A
02-24-04-104-032-0000	RESIDENTIAL	244 FOSSIL COVE LN	BRAIDWOOD	60481	05/01/2004	$35,000	7.2039 (2016)	11,194	0	0	38,877	0	50,071	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	244	N/A	N/A	N/A	N/A	N/A
02-24-04-104-033-0000	RESIDENTIAL	243 FOSSIL COVE LN	BRAIDWOOD	60481	11/01/2014	$128,000	7.2039 (2016)	11,194	0	0	33,314	0	44,508	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	243	N/A	N/A	N/A	N/A	N/A
02-24-04-104-034-0000	RESIDENTIAL	242 FOSSIL COVE LN	BRAIDWOOD	60481	10/01/2004	$175,000	7.2039 (2016)	11,194	0	0	45,623	0	56,817	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	242	N/A	N/A	N/A	N/A	N/A
02-24-04-104-035-0000	RESIDENTIAL	241 FOSSIL COVE LN	BRAIDWOOD	60481	02/01/2005	$125,000	7.2039 (2016)	9,795	0	0	3,590	0	13,385	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	241	N/A	N/A	N/A	N/A	N/A
02-24-04-104-036-0000	RESIDENTIAL	240 FOSSIL COVE LN	BRAIDWOOD	60481	09/01/1997	$24,500	7.2039 (2016)	9,795	0	0	0	0	9,795	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	240	N/A	N/A	N/A	N/A	N/A
02-24-04-104-018-0000	RESIDENTIAL	144 FLORA FERN RD	BRAIDWOOD	60481	10/01/2015	$35,000	7.2039 (2016)	9,795	0	0	2,638	0	12,433	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	144	N/A	N/A	N/A	N/A	N/A
02-24-04-104-038-0000	RESIDENTIAL	238 FOSSIL COVE LN	BRAIDWOOD	60481	09/01/2015	$160,000	7.2039 (2016)	11,194	0	0	42,310	0	53,504	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	238	N/A	N/A	N/A	N/A	N/A
02-24-04-104-039-0000	RESIDENTIAL	237 FOSSIL COVE LN	BRAIDWOOD	60481	10/01/2010	$95,000	7.2039 (2016)	11,194	0	0	14,640	0	25,834	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	237	N/A	N/A	N/A	N/A	N/A
02-24-04-104-040-0000	RESIDENTIAL	236 FOSSIL COVE LN	BRAIDWOOD	60481	09/01/1998	$27,000	7.2039 (2016)	9,795	0	0	0	0	9,795	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	236	N/A	N/A	N/A	N/A	N/A
02-24-04-104-041-0000	RESIDENTIAL	235 FOSSIL COVE LN	BRAIDWOOD	60481	09/01/2003	$90,000	7.2039 (2016)	11,194	0	0	4,170	0	15,364	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	235	N/A	N/A	N/A	N/A	N/A
02-24-04-104-042-0000	RESIDENTIAL	234 FOSSIL COVE LN	BRAIDWOOD	60481	10/01/1998	$30,300	7.2039 (2016)	9,795	0	0	42,735	0	52,530	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	234	N/A	N/A	N/A	N/A	N/A
02-24-04-104-044-0000	RESIDENTIAL	232 FOSSIL COVE LN	BRAIDWOOD	60481	06/21/1996	$32,500	7.2039 (2016)	11,194	0	0	7,798	0	18,992	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	232	N/A	N/A	N/A	N/A	N/A
02-24-04-104-045-0000	RESIDENTIAL	231 FOSSIL COVE LN	BRAIDWOOD	60481	04/01/1999	$26,500	7.2039 (2016)	9,795	0	0	3,863	0	13,658	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	231	N/A	N/A	N/A	N/A	N/A
02-24-04-104-046-0000	RESIDENTIAL	230 FOSSIL COVE LN	BRAIDWOOD	60481	01/02/1996	$26,600	7.2039 (2016)	11,194	0	0	37,193	0	48,387	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	230	N/A	N/A	N/A	N/A	N/A
02-24-04-104-037-0000	RESIDENTIAL	239 FOSSIL COVE LN	BRAIDWOOD	60481	03/01/1998	$26,500	7.2039 (2016)	9,795	0	0	40,479	0	50,274	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	239	N/A	N/A	N/A	N/A	N/A
02-24-04-104-049-0000	RESIDENTIAL	227 FOSSIL COVE LN	BRAIDWOOD	60481	11/01/1998	$27,000	7.2039 (2016)	9,795	0	0	4,129	0	13,924	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	227	N/A	N/A	N/A	N/A	N/A
